Cancer Types,Sample Names,Accuracy,DBS1,DBS2,DBS3,DBS4,DBS5,DBS6,DBS7,DBS8,DBS9,DBS10,DBS11
Bone-Osteosarc,SP116472,0.733,0,33,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116518,0.827,0,36,0,46.08,0,0,0,0,0,0,0
Bone-Osteosarc,SP116412,0.67,0,15,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116534,0.728,0,3,0,0,0,0,0,0,0,0,6
Bone-Osteosarc,SP116596,0.798,0,56,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116490,0.641,0,7,0,0,0,0,0,0,0,0,19
Bone-Osteosarc,SP116459,0.737,0,0,0,6,0,0,9,0,0,0,12
Bone-Osteosarc,SP116475,0.686,0,4,0,0,0,0,0,0,10,0,0
Bone-Osteosarc,SP116520,0.857,0,12,0,10,0,0,0,0,0,0,13
Bone-Osteosarc,SP116431,0.794,0,18,0,0,21,0,0,0,0,0,0
Bone-Osteosarc,SP116582,0.892,0,11,0,9,0,0,0,0,0,0,12
Bone-Osteosarc,SP116599,0.703,0,2,0,0,0,0,0,0,0,0,5
Bone-Osteosarc,SP116478,0.792,0,0,0,6,0,6,0,0,0,0,8
Bone-Osteosarc,SP116462,0.743,0,4,0,0,4,0,0,0,0,0,0
Bone-Osteosarc,SP116523,0.711,0,3,0,4,0,0,0,0,0,0,6
Breast-AdenoCA,SP117956,0.876,0,6,0,3,0,0,0,0,0,0,2
Breast-AdenoCA,SP117975,0.542,0,4,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,SP2149,0.919,0,23,0,12,0,14,0,0,24,0,0
Breast-AdenoCA,SP117113,0.809,0,4,0,3,0,0,0,0,1,0,0
Breast-AdenoCA,SP117245,0.781,0,1,0,4,0,0,0,0,0,0,6
Breast-AdenoCA,SP117402,0.582,0,2,0,0,0,3,0,0,8,0,0
Breast-AdenoCA,SP117136,0.85,0,3,0,1,0,0,0,0,0,0,0
Breast-AdenoCA,SP117378,0.651,0,1,0,0,0,0,0,0,2,0,0
Breast-AdenoCA,SP116947,0.449,0,2,0,0,0,0,0,0,3,0,1
Breast-AdenoCA,SP117369,0.932,0,0,0,0,0,0,0,0,0,0,63
Breast-AdenoCA,SP117244,0.705,1,0,0,0,0,0,0,0,0,0,1
Breast-AdenoCA,SP117162,0.71,0,4,0,9,0,9,0,0,0,0,0
Breast-AdenoCA,SP117079,0.212,0,0,0,0,0,0,0,0,0,0,2
Breast-AdenoCA,SP117344,0.837,0,11,0,9,0,12,0,0,18,0,0
Breast-AdenoCA,SP118074,0.807,0,5,0,7,0,0,0,0,15,0,0
Breast-AdenoCA,SP117598,0.77,0,7,0,11,0,0,0,0,13,0,9
Breast-AdenoCA,SP117312,0.699,0,0,0,1,0,1,0,0,3,0,0
Breast-AdenoCA,SP118038,0.87,0,5,0,9,0,5,0,0,5,0,3
Breast-AdenoCA,SP117552,0.243,0,0,0,5,0,0,0,0,0,0,0
Breast-AdenoCA,SP118073,0.525,0,2,0,0,0,0,0,4,0,0,0
Breast-AdenoCA,SP117933,0.524,0,0,0,0,0,2,0,0,0,0,0
Breast-AdenoCA,SP118012,0.521,0,0,0,1,0,2,3,0,0,0,1
Breast-AdenoCA,SP117108,0.977,0,0,0,2,0,0,0,0,0,0,0
Breast-AdenoCA,SP117812,0.765,0,0,0,0,0,1,0,0,0,0,5
Breast-AdenoCA,SP117354,0.345,0,2,0,2,0,0,0,0,11,0,4
Breast-AdenoCA,SP117370,0.793,0,2,0,0,0,0,0,0,0,0,0
Breast-AdenoCA,SP116991,0.651,0,0,0,0,0,0,3,0,0,0,0
Breast-AdenoCA,SP117629,0.913,0,29,0,20,0,20,0,0,0,0,20
Breast-AdenoCA,SP124199,0.674,0,0,0,3,0,0,0,0,0,0,3
Breast-AdenoCA,SP124195,0.062,0,0,0,0,0,0,0,0,1,0,0
Breast-AdenoCA,SP117850,0.74,0,0,0,0,0,0,0,0,0,0,2
Breast-AdenoCA,SP117127,0.401,0,3,0,4,0,0,0,0,0,0,0
Breast-AdenoCA,SP117614,0.958,0,25,0,9,0,19,0,0,14,0,0
Breast-AdenoCA,SP116948,0.72,0,0,0,10,0,0,0,0,0,0,0
Breast-AdenoCA,SP117409,0.964,0,40,0,34,0,20,0,0,21,0,0
Breast-AdenoCA,SP117593,0.386,0,0,0,4,0,0,0,0,0,0,0
Breast-AdenoCA,SP117372,0.764,0,2,0,0,0,0,0,0,6,0,13
Breast-AdenoCA,SP118077,0.432,0,0,0,1,0,0,0,0,3,0,3
Breast-AdenoCA,SP117840,0.374,0,0,0,0,0,0,0,0,3,0,0
Breast-AdenoCA,SP117363,0.898,0,13,0,8,0,0,0,0,13,0,0
Breast-AdenoCA,SP117887,0.898,0,15,0,28,0,15,0,0,30,0,0
Breast-AdenoCA,SP116946,0.667,0,0,0,4,0,0,0,0,6,0,0
Breast-AdenoCA,SP117901,0.939,0,18,0,7,0,0,0,0,10,0,5
Breast-AdenoCA,SP117454,0.521,0,0,0,2,0,0,0,0,0,0,3
Breast-AdenoCA,SP124197,0.874,0,16,0,12,0,20,0,0,25,0,30
Breast-AdenoCA,SP117919,0.813,0,15,0,13,0,19,0,0,31,0,12
Breast-AdenoCA,SP117250,0.736,0,0,0,4,0,0,0,0,4,0,2
Breast-AdenoCA,SP117983,0.641,0,0,0,0,0,4,0,0,0,0,3
Breast-AdenoCA,SP117676,0.629,0,0,0,3,0,0,0,0,1,0,0
Breast-AdenoCA,SP117011,0.897,0,0,0,0,0,0,0,0,0,0,40
Breast-AdenoCA,SP117057,0.835,0,1,0,5,0,2,0,0,0,0,2
Breast-AdenoCA,SP117126,0.639,0,2,0,4,0,0,0,0,5,0,0
Breast-AdenoCA,SP117728,0.153,0,0,0,0,0,1,0,0,1,0,0
Breast-AdenoCA,SP117618,0.392,0,0,0,0,0,0,0,0,2,0,0
Breast-AdenoCA,SP117257,0.421,0,0,0,2,0,0,0,0,3,0,0
Breast-AdenoCA,SP116963,0.389,0,0,0,0,0,0,0,0,3,0,0
Breast-AdenoCA,SP117078,0.761,0,0,0,0,0,8,0,0,0,0,17
Breast-AdenoCA,SP117944,0.951,0,32,0,14,0,18,0,0,0,0,18
Breast-AdenoCA,SP117639,0.655,0,0,0,1,2,0,0,0,2,0,3
Breast-AdenoCA,SP117834,0.868,0,2,0,11,0,10,0,0,0,0,0
Breast-AdenoCA,SP117105,0.172,0,0,0,0,0,0,0,0,0,0,5
Breast-AdenoCA,SP117785,0.747,0,4,0,0,0,6,0,0,5,0,5
Breast-AdenoCA,SP117882,0.802,0,0,0,0,3,0,0,0,0,0,1
Breast-AdenoCA,SP117778,0.686,0,1,0,0,0,2,0,0,0,0,6
Breast-AdenoCA,SP117032,0.786,0,1,0,1,0,0,0,0,0,0,2
Breast-AdenoCA,SP117710,0.79,0,8,0,4,0,0,9,0,8,0,5
Breast-AdenoCA,SP117538,0.858,0,21,0,32,0,18,0,0,46,0,16
Breast-AdenoCA,SP124207,0.844,0,5,0,7,0,7,0,0,10,0,6
Breast-AdenoCA,SP117800,0.781,0,5,0,0,0,2,0,0,3,0,4
Breast-AdenoCA,SP117724,0.624,0,1,0,3,0,0,0,0,6,0,0
Breast-AdenoCA,SP124193,0.732,0,0,0,3,0,0,0,0,0,0,2
Breast-AdenoCA,SP2293,0.92,0,0,0,0,0,0,0,0,0,0,96
Breast-AdenoCA,SP2357,0.917,0,31,0,0,0,19,0,0,33,0,17
Breast-AdenoCA,SP2144,0.745,0,5,0,5,0,4,0,0,9,0,5
Breast-AdenoCA,SP2145,0.861,0,17,0,12,0,15,0,0,18,0,11
Breast-AdenoCA,SP2147,0.935,0,25,0,41,0,19,0,0,28,0,16
Breast-AdenoCA,SP2146,0.926,0,15,0,15,0,11,0,0,0,0,0
Breast-AdenoCA,SP2148,0.855,0,6,0,8,0,14,0,0,22,0,0
Breast-AdenoCA,SP2150,0.489,0,0,0,1,0,3,0,0,5,0,4
Breast-AdenoCA,SP2152,0.664,0,0,0,1,0,0,3,0,0,0,3
Breast-AdenoCA,SP2349,0.666,0,0,0,9,0,0,0,0,10,0,7
Breast-AdenoCA,SP2155,0.926,0,33,0,10,0,0,0,0,39,0,10
Breast-AdenoCA,SP2154,0.892,0,27,0,34,0,57,0,0,0,0,0
Breast-AdenoCA,SP2158,0.737,0,2,0,0,0,3,0,0,3,3,7
Breast-AdenoCA,SP2156,0.706,0,3,0,7,0,0,0,0,0,0,0
Breast-AdenoCA,SP2159,0.867,0,0,0,0,0,0,0,0,0,0,15
Breast-AdenoCA,SP2153,0.764,0,3,0,8,0,13,0,0,21,0,9
Breast-AdenoCA,SP2160,0.765,0,3,0,5,0,6,0,0,0,0,0
Breast-AdenoCA,SP2151,0.552,0,2,0,2,0,2,0,0,0,0,0
Breast-AdenoCA,SP116341,0.941,0,41,0,21,0,0,0,0,35,0,15
Breast-AdenoCA,SP116331,0.706,0,4,0,6,0,0,0,0,9,0,3
Breast-AdenoCA,SP116351,0.759,0,3,0,3,0,4,0,0,0,0,3
Breast-AdenoCA,SP116371,0.801,0,4,0,11,0,7,0,0,0,0,3
Breast-AdenoCA,SP116361,0.863,0,5,0,4,0,5,0,0,12,0,16
Breast-AdenoCA,SP116343,0.628,0,2,0,5,0,5,0,0,12,0,5
Breast-AdenoCA,SP116333,0.689,0,2,0,4,0,5,0,0,6,0,3
Breast-AdenoCA,SP116373,0.788,0,11,0,8,0,11,0,0,26,0,0
Breast-AdenoCA,SP116363,0.91,0,17,0,5,0,5,0,0,15,0,0
Breast-AdenoCA,SP116353,0.752,0,5,0,9,0,0,0,0,0,0,21
Breast-AdenoCA,SP116345,0.536,0,2,0,4,0,2,0,0,5,0,0
Breast-AdenoCA,SP116365,0.839,0,11,0,9,0,12,0,0,17,0,0
Breast-AdenoCA,SP116375,0.772,0,3,0,3,0,13,0,0,5,0,3
Breast-AdenoCA,SP116335,0.718,0,3,0,9,0,10,0,0,12,0,5
Breast-AdenoCA,SP116355,0.92,0,15,0,24,0,18,0,0,24,0,0
Breast-AdenoCA,SP116347,0.718,0,1,0,3,0,0,0,0,0,0,1
Breast-AdenoCA,SP116367,0.826,0,8,0,14,0,10,0,0,22,0,0
Breast-AdenoCA,SP116339,0.801,0,0,0,10,0,5,0,0,5,0,5
Breast-AdenoCA,SP116349,0.727,0,3,0,4,0,0,0,0,5,0,0
Breast-AdenoCA,SP116357,0.919,0,22,0,11,0,26,0,0,23,0,0
Breast-AdenoCA,SP116359,0.932,0,20,0,8,0,21,0,0,14,0,8
Breast-AdenoCA,SP116369,0.885,0,13,0,29,0,26,0,0,39,0,0
Breast-AdenoCA,SP116377,0.814,0,5,0,21,0,0,0,0,20,0,0
Breast-AdenoCA,SP116379,0.783,0,5,0,5,0,7,0,0,7,0,0
Breast-AdenoCA,SP7692,0.841,0,0,0,15,0,7,0,0,0,0,19
Breast-AdenoCA,SP5052,0.96,0,44,0,21,0,20,0,0,42,0,0
Breast-AdenoCA,SP7785,0.825,0,14,0,17,0,18,0,0,31,0,12
Breast-AdenoCA,SP3415,0.853,0,9,0,7,0,10,0,0,20,0,12
Breast-AdenoCA,SP2799,0.768,0,2,0,8,0,0,0,0,0,0,0
Breast-AdenoCA,SP9979,0.457,0,0,0,1,0,0,0,0,5,0,0
Breast-AdenoCA,SP5393,0.805,0,3,0,5,0,8,0,0,0,0,0
Breast-AdenoCA,SP11292,0.707,0,5,0,5,0,11,0,0,6,0,6
Breast-AdenoCA,SP13036,0.655,0,4,0,11,0,9,16,0,0,0,14
Breast-AdenoCA,SP7421,0.897,0,10,0,26,0,16,0,0,33,0,0
Breast-AdenoCA,SP4875,0.961,0,36,0,18,0,0,0,0,26,0,0
Breast-AdenoCA,SP8795,0.744,0,2,0,5,7,0,0,0,11,0,5
Breast-AdenoCA,SP4820,0.864,0,8,0,4,0,21,16,0,19,0,0
Breast-AdenoCA,SP4593,0.722,0,0,0,1,0,0,0,0,0,0,4
Breast-AdenoCA,SP8085,0.726,0,3,0,5,0,0,0,0,5,0,5
Breast-AdenoCA,SP11235,0.7,0,1,0,4,0,7,0,0,5,0,4
Breast-AdenoCA,SP6730,0.602,0,3,0,0,0,5,0,0,0,0,0
Breast-AdenoCA,SP10635,0.767,0,1,0,2,0,0,0,0,6,0,0
Breast-AdenoCA,SP5381,0.531,0,0,0,0,0,2,0,0,0,0,0
Breast-AdenoCA,SP10084,0.722,0,7,0,7,0,0,0,0,17,0,0
Breast-AdenoCA,SP9251,0.814,0,8,0,0,0,0,0,0,22,0,0
Breast-AdenoCA,SP3016,0.894,0,8,0,12,0,17,0,0,0,0,16
Breast-AdenoCA,SP11045,0.652,0,1,0,0,0,2,0,0,1,0,3
Breast-AdenoCA,SP2826,0.637,0,3,0,4,0,0,0,0,6,0,2
Breast-AdenoCA,SP11171,0.862,0,10,0,8,0,18,0,0,11,0,8
Breast-AdenoCA,SP5784,0.759,0,2,0,15,0,5,0,0,9,0,4
Breast-AdenoCA,SP8564,0.619,0,2,0,10,0,7,0,0,0,0,8
Breast-AdenoCA,SP5844,0.605,0,2,0,4,0,4,0,0,0,0,4
Breast-AdenoCA,SP6519,0.828,0,0,0,5,0,0,0,0,0,0,0
Breast-AdenoCA,SP6766,0.676,0,1,0,0,0,3,0,0,0,0,0
Breast-AdenoCA,SP5448,0.92,0,3,0,5,0,3,0,0,0,0,26
Breast-AdenoCA,SP12049,0.95,0,52,0,34,0,26,0,0,60,0,0
Breast-AdenoCA,SP2714,0.841,0,11,0,20,0,23,0,0,36,0,0
Breast-AdenoCA,SP2801,0.863,0,2,0,7,0,2,0,0,0,0,11
Breast-AdenoCA,SP8891,0.89,0,29,0,17,0,16,0,0,30,0,0
Breast-AdenoCA,SP9481,0.425,0,2,0,3,0,4,0,0,0,0,0
Breast-AdenoCA,SP5808,0.919,0,17,0,29,0,38,0,0,30,0,0
Breast-AdenoCA,SP6429,0.766,0,7,0,11,0,9,0,0,39,0,0
Breast-AdenoCA,SP5017,0.798,0,0,0,5,0,0,5,0,2,0,3
Breast-AdenoCA,SP8229,0.635,0,1,0,1,0,0,4,0,0,0,3
Breast-AdenoCA,SP8157,0.671,0,2,0,6,0,6,0,0,0,0,0
Breast-AdenoCA,SP5279,0.84,0,6,0,19,0,0,0,0,21,0,9
Breast-AdenoCA,SP8660,0.919,0,25,0,20,0,15,0,0,29,0,0
Breast-AdenoCA,SP11878,0.723,0,6,0,7,0,4,0,0,20,0,0
Breast-AdenoCA,SP9433,0.765,0,4,0,0,0,0,0,0,5,0,11
Breast-AdenoCA,SP2881,0.805,0,3,0,16,0,8,0,0,27,0,0
Breast-AdenoCA,SP7378,0.789,0,1,0,1,0,0,0,0,0,0,8
Breast-AdenoCA,SP9816,0.928,0,25,0,12,0,16,0,0,28,0,0
Breast-AdenoCA,SP4265,0.855,0,6,0,5,0,6,0,0,6,0,0
Breast-AdenoCA,SP2793,0.899,0,34,0,25,0,21,0,0,47,0,20
Breast-AdenoCA,SP6825,0.755,0,8,0,6,0,7,0,0,25,0,19
Breast-AdenoCA,SP4523,0.889,0,6,0,12,0,5,0,0,6,0,0
Breast-AdenoCA,SP9930,0.906,0,26,0,18,0,18,0,0,27,0,19
Breast-AdenoCA,SP5820,0.788,0,3,0,2,0,0,0,0,0,0,8
Breast-AdenoCA,SP10470,0.858,0,16,0,11,0,25,0,0,39,0,0
Breast-AdenoCA,SP9648,0.721,0,21,0,31,0,23,0,0,67,0,28
Breast-AdenoCA,SP4535,0.147,0,0,0,0,0,0,0,0,4,0,0
Breast-AdenoCA,SP11808,0.767,0,1,0,4,0,2,6,0,3,0,0
Breast-AdenoCA,SP96163,0.782,0,8,0,12,0,19,0,0,18,0,19
Breast-AdenoCA,SP11948,0.884,0,14,0,10,0,17,0,0,13,0,6
Breast-AdenoCA,SP4557,0.719,0,6,0,0,0,5,0,0,10,0,4
Breast-AdenoCA,SP96147,0.619,0,3,0,4,0,0,0,0,7,0,0
Breast-AdenoCA,SP10150,0.603,0,0,0,2,0,0,0,0,6,0,8
Breast-AdenoCA,SP4472,0.813,0,4,0,4,0,10,0,0,13,0,18
Breast-AdenoCA,SP6813,0.704,0,3,0,7,0,0,0,0,11,0,15
Breast-AdenoCA,SP96511,0.923,0,28,0,34,0,32,0,0,42,0,15
Breast-AdenoCA,SP5636,0.65,0,0,5,5,0,0,0,0,6,0,0
Breast-AdenoCA,SP5559,0.84,0,7,0,12,0,7,0,0,16,0,23
Breast-AdenoCA,SP3631,0.91,0,0,0,0,0,11,0,0,0,0,48
Breast-AdenoCA,SP5473,0.861,0,10,0,3,0,4,0,0,14,0,0
Breast-AdenoCA,SP8394,0.83,0,0,0,0,0,0,0,0,0,0,12
Breast-AdenoCA,SP6115,0.785,0,3,0,6,0,4,0,0,0,0,0
Breast-AdenoCA,SP7291,0.784,0,4,0,0,0,2,0,0,3,0,3
Breast-AdenoCA,SP2997,0.801,0,8,0,11,0,0,0,0,0,0,0
Breast-AdenoCA,SP8831,0.913,0,35,0,33,0,25,0,0,57,0,0
Breast-AdenoCA,SP2731,0.722,0,0,0,4,0,2,0,0,0,0,8
Breast-AdenoCA,SP6223,0.862,0,9,0,15,0,0,0,0,31,0,0
Breast-AdenoCA,SP7171,0.75,0,3,0,1,0,4,0,0,3,0,0
Breast-AdenoCA,SP10563,0.906,0,0,0,0,0,0,0,0,0,0,27
Breast-AdenoCA,SP8987,0.915,0,21,0,17,0,21,0,0,18,0,9
Breast-AdenoCA,SP5980,0.904,0,20,0,0,0,28,0,0,42,0,0
Breast-AdenoCA,SP12186,0.637,0,2,0,3,0,0,7,0,0,0,10
Breast-AdenoCA,SP10944,0.905,0,10,0,8,0,5,0,0,15,0,5
Breast-AdenoCA,SP2766,0.837,0,11,0,5,0,13,0,0,22,0,0
Breast-AdenoCA,SP6673,0.921,0,41,0,40,0,48,0,0,0,0,50.01
Breast-DCIS,SP117698,0.717,0,1,0,3,0,3,0,0,0,0,0
Breast-DCIS,SP124201,0.565,0,35.52,0,0,0,0,0,0,0,0,0
Breast-DCIS,SP2143,0.689,0,3,0,7,0,0,0,0,0,0,0
Breast-LobularCA,SP124191,0.829,4,0,0,0,0,0,0,0,3,0,0
Breast-LobularCA,SP117247,0.819,0,1,0,4,0,0,0,0,5,0,0
Breast-LobularCA,SP117362,0.491,0,0,0,10,0,0,0,0,0,0,0
Breast-LobularCA,SP117470,0.928,0,45,0,21,23,0,0,0,55.26,0,0
Breast-LobularCA,SP117586,0.705,1,2,0,2,0,0,0,0,0,0,0
Breast-LobularCA,SP117709,0.462,0,0,0,0,0,0,0,0,8,0,0
Breast-LobularCA,SP2157,0.467,0,0,0,0,0,2,0,0,4,0,0
Breast-LobularCA,SP3368,0.742,0,3,0,6,0,0,0,0,12,0,0
Breast-LobularCA,SP5666,0.755,2,0,0,1,0,0,0,0,7,0,0
Breast-LobularCA,SP2781,0.281,0,0,0,0,0,0,0,2,3,0,0
Breast-LobularCA,SP8532,0.8,0,3,0,2,0,0,0,0,5,0,18
Breast-LobularCA,SP12856,0.727,0,0,0,0,0,0,0,0,20,0,45
Breast-LobularCA,SP7456,0.791,0,0,0,10,0,0,0,0,0,0,0
CNS-GBM,SP24708,0.739,0,2,0,5,0,5,0,0,0,0,4
